,id,headline,Lab_4c_x,Lab_4c_y,Lab_4c_z,lab_4c,label
0,3ce23b23cfb365d2ef298da871f20201ad3721a15197f48ef11cf899fd4d478b,"Newshour, Gaza talks: are Israel and Hamas getting closer to a deal",WC,WC,WC,WC,2
1,8680be1433dae2e5a5f6fedbecdcd004559139ed24ae13ed07b50bd84fc034b8,Anti-Israel agitator in Hamas headband holds up bloodied Biden face mask steps from White House,BC,BC,BC,BC,0
2,e18659d541c3421002ec15ebe2907a5b21d56684e1162dba68d4c7e07386ef94,"Israeli forces withdraw from Jenin, step up raids in other West Bank areas",WC,WC,WC,WC,2
3,e465115d30dcbeb809ce657af93131dd9f7a0d7ac04a63ac9174e2ed56d9b495,Ori Megidish: Israeli soldier hostage in Gaza released,WC,WC,WC,WC,2
4,6909918934247a1d8a9f834e968d84890e6380adab155065aa205c456d6e62db,US-Turkish protestor killed in West Bank as Israeli forces opened fire,WC,WC,WC,WC,2
5,e618a6333cd3a90f1f42bdf82e7b80cab536f8bea35f844df3fc80af8bf47c6d,"Israel’s war on Gaza: List of key events, day 77",WC,WC,WC,WC,2
6,cc573775d8897a50ed1a4db923752f87b5294043aeac3f5555bfe41319caf283,Top Jewish group fears a Harris presidency would be 'far worse' amid rising antisemitism,BC,None,BC,BC,0
7,aa1877cf7a198051071d2458ee28777ca5b29f3fbf433223da42555bab152c11,Israel-Gaza war on US campuses: Why are top university leaders under fire?,BC,BC,BC,BC,0
8,bf1cd79f5fb9f5cee090df5a54804a0adbe5751b0ad107e20e3b26c17b660cd1,Video: Palestinian house targeted near Gaza’s Nasser Hospital,WC,WC,WC,WC,2
9,2f6e0fb96c3f78d7aa18edeaa2ed1e429301ac28a98c6154ebf82cc6f5d91762,Palestinian children in the West Bank are also under attack,WC,BC,WC,WC,2
10,cb868317327f69985a4d55a7f149d39c4e2421e512d21d9e64031915b3081040,"BBC World Service - Global News Podcast, Special Podcast: Israel",None,None,BC,None,1
11,5937491410ad4ed0e52e6f185595d93e0a4181157ca36d62889737396a1e8587,Lebanon says Israeli strikes killed 10 Syrian refugees,WC,WC,WC,WC,2
12,d8edc403eaede727797a80a85f18e388b807a05a6ee9acc34a18ed0c0d30e382,"Combustible situation' as students return to campus after school year marked by protests, encampments",BC,BC,BC,BC,0
13,602289be08de66f8296191b3aa49dba7fce8cacaeb3363cc167f5335bffc45f1,Video: Israeli military attacks displacement camp outside Gaza hospital,WC,WC,WC,WC,2
14,864c6faafdffdcd1af299bed1eed06db99c4722557140b11fb7dacea3b440986,Israel says Gaza war will continue for months,WC,WC,WC,WC,2
15,7d6dd6b28f7635489eb6e49f2e4c4c0f6c0f7a285feb45ad41837a62350b8387,Israel-Gaza war: Unknown fate of six-year-old Hind Rajab trapped under fire,WC,WC,WC,WC,2
16,7c9b0ed52083beb51f5ceabe3d259c4bd4835239bcb5c84623980ceb0f9300c2,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,WC,BC,WC,WC,2
17,b4ee3dddeb71404983f6ee1c521e3c77ef48aaf3071ef7ae27d5811b7d2d2e88,Taiwan election: Kuomintang party asks voters to choose between war and peace,None,None,None,None,1
18,1d65df09e670d86e58d002a945e89254c7b9059741b2f9bc08519cadab397470,Israel issues new evacuation orders as ‘safe areas’ of Gaza under attack,WC,WC,WC,WC,2
19,c93c8aef84296dd737c9aec40adfef02b5ee95af4250005de03f8548e3bb946e,"Biden, White House blame Israel war for forgetting basic facts during special counsel interviews",BC,BC,None,BC,0
20,e94661932923d267a0b98fc62d3cf0bfd4a0a1a5fc1ea8c848a69c95c1547684,"Ivy League anti-Israel agitators' protests spiral into 'actual terror organization,' professor warns",BC,BC,BC,BC,0
21,41b4eb5d38bba90e5c87f47af2801732a5d1a7b7bf6667e915518c3920b1f235,Confrontations between rival protesters at UCLA over Gaza war,BC,BC,BC,BC,0
22,96c5a313a075f0e110d7b4c4c0478fb3033b0777a119b7595461b12bfd293afb,"Israel withdraws all ground troops from southern Gaza, leaving just one IDF brigade in the enclave",WC,WC,WC,WC,2
23,584b9f29e4b9b663264264badf30ac61391db6a6625b936632b4631318d8d879,Deadline looms for Hamas to respond to offer of a ceasefire,WC,WC,WC,WC,2
24,36fb4f07b8ae7a33c0b41b289190ea47254e7ccd7e5a492c94dcaf4630691a3a,Conservative attacks on National Trust are desperate,None,None,None,None,1
25,8a1e2cb4b21653cadc9b6bbe02caf7ade12a87383c386a8223cbef2f658bef0b,Israel Gaza: Ceasefire talks resume as Rafah under fire,WC,WC,WC,WC,2
26,e33cc9a381ff50cbf1d3c14f074e14c522b3a9162b941c865f034ed7a01754a2,Anti-Israel protester charged for spray-painting 'Gaza' on statue outside DC's Union Station: prosecutors,BC,BC,BC,BC,0
27,e85c8763f2b48e88220cccb865b899a26b981cbe51e952c597a649c23cd6d595,Holocaust Survivors' Foundation condemns Oscar winner equating Israel with Hamas: 'Morally indefensible',BC,BC,BC,BC,0
