,id,headline,Lab_1_x,Lab_1_y,Lab_1_z,lab_1,label
0,3ce23b23cfb365d2ef298da871f20201ad3721a15197f48ef11cf899fd4d478b,"Newshour, Gaza talks: are Israel and Hamas getting closer to a deal",S,O,O,O,0
1,8680be1433dae2e5a5f6fedbecdcd004559139ed24ae13ed07b50bd84fc034b8,Anti-Israel agitator in Hamas headband holds up bloodied Biden face mask steps from White House,O,S,S,S,1
2,e18659d541c3421002ec15ebe2907a5b21d56684e1162dba68d4c7e07386ef94,"Israeli forces withdraw from Jenin, step up raids in other West Bank areas",O,O,O,O,0
3,e465115d30dcbeb809ce657af93131dd9f7a0d7ac04a63ac9174e2ed56d9b495,Ori Megidish: Israeli soldier hostage in Gaza released,O,O,O,O,0
4,6909918934247a1d8a9f834e968d84890e6380adab155065aa205c456d6e62db,US-Turkish protestor killed in West Bank as Israeli forces opened fire,O,O,S,O,0
5,e618a6333cd3a90f1f42bdf82e7b80cab536f8bea35f844df3fc80af8bf47c6d,"Israel’s war on Gaza: List of key events, day 77",O,O,O,O,0
6,cc573775d8897a50ed1a4db923752f87b5294043aeac3f5555bfe41319caf283,Top Jewish group fears a Harris presidency would be 'far worse' amid rising antisemitism,S,O,O,O,0
7,aa1877cf7a198051071d2458ee28777ca5b29f3fbf433223da42555bab152c11,Israel-Gaza war on US campuses: Why are top university leaders under fire?,O,S,S,S,1
8,bf1cd79f5fb9f5cee090df5a54804a0adbe5751b0ad107e20e3b26c17b660cd1,Video: Palestinian house targeted near Gaza’s Nasser Hospital,S,O,S,S,1
9,2f6e0fb96c3f78d7aa18edeaa2ed1e429301ac28a98c6154ebf82cc6f5d91762,Palestinian children in the West Bank are also under attack,O,O,O,O,0
10,cb868317327f69985a4d55a7f149d39c4e2421e512d21d9e64031915b3081040,"BBC World Service - Global News Podcast, Special Podcast: Israel",O,O,O,O,0
11,5937491410ad4ed0e52e6f185595d93e0a4181157ca36d62889737396a1e8587,Lebanon says Israeli strikes killed 10 Syrian refugees,O,O,O,O,0
12,d8edc403eaede727797a80a85f18e388b807a05a6ee9acc34a18ed0c0d30e382,"Combustible situation' as students return to campus after school year marked by protests, encampments",S,S,O,S,1
13,602289be08de66f8296191b3aa49dba7fce8cacaeb3363cc167f5335bffc45f1,Video: Israeli military attacks displacement camp outside Gaza hospital,S,O,O,O,0
14,864c6faafdffdcd1af299bed1eed06db99c4722557140b11fb7dacea3b440986,Israel says Gaza war will continue for months,S,O,O,O,0
15,7d6dd6b28f7635489eb6e49f2e4c4c0f6c0f7a285feb45ad41837a62350b8387,Israel-Gaza war: Unknown fate of six-year-old Hind Rajab trapped under fire,O,S,S,S,1
16,7c9b0ed52083beb51f5ceabe3d259c4bd4835239bcb5c84623980ceb0f9300c2,Israel’s Netanyahu doubles down on opposition to Palestinian statehood,O,O,S,O,0
17,b4ee3dddeb71404983f6ee1c521e3c77ef48aaf3071ef7ae27d5811b7d2d2e88,Taiwan election: Kuomintang party asks voters to choose between war and peace,O,O,O,O,0
18,1d65df09e670d86e58d002a945e89254c7b9059741b2f9bc08519cadab397470,Israel issues new evacuation orders as ‘safe areas’ of Gaza under attack,O,O,S,O,0
19,c93c8aef84296dd737c9aec40adfef02b5ee95af4250005de03f8548e3bb946e,"Biden, White House blame Israel war for forgetting basic facts during special counsel interviews",S,S,S,S,1
20,e94661932923d267a0b98fc62d3cf0bfd4a0a1a5fc1ea8c848a69c95c1547684,"Ivy League anti-Israel agitators' protests spiral into 'actual terror organization,' professor warns",S,S,S,S,1
