word,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent
mistakes,0.047619048,0.2,0.078947368,0.189189189,0.086956522,-0.9584,-0.49974,-0.449333333,-0.291414286,-0.3612
bid,0.023809524,0.128205128,0.083333333,0.125,0.028571429,-0.9493,0.11236,0.1724,0.167075,0.5859
distrust,0.05,0.1,0.238095238,0.1875,0.384615385,-0.9201,-0.5966,0.02948,-0.428133333,-0.32176
injury,0.125,0.133333333,0.238095238,0.054054054,0.065217391,-0.8983,-0.544525,-0.85578,-0.8037,-0.834066667
persistent,0.058823529,0.166666667,0,0.1,0.25,-0.8957,0.2435,0,0.4393,-0.0028
constitution,0.008547009,0.094017094,0,0.061538462,0.007575758,-0.8934,0.010136364,0,0.0149625,-0.4939
upheld,0.058823529,0,0.230769231,0.260869565,0,-0.8834,0,0.389733333,-0.124433333,0
attacker,0.083333333,0.2,0.217391304,0.2,0.153846154,-0.88275,-0.82332,-0.83206,-0.655433333,-0.697225
cruel,0.608695652,0.391304348,0.2,0.058823529,0.222222222,-0.861457143,-0.862911111,-0.879525,-0.9382,-0.912466667
unfair,0.0625,0.344827586,0.210526316,0.172413793,0.192307692,-0.8591,-0.54047,-0.447625,-0.72028,-0.62252
riot,0.125,0.173913043,0,0.3,0.111111111,-0.858466667,-0.774675,0,-0.641966667,-0.6778
unusual,0.215686275,0.22,0.088888889,0.142857143,0.166666667,-0.856063636,-0.517281818,-0.6572,-0.072928571,-0.522366667
raping,0.526315789,0.307692308,0.2,0.230769231,0.666666667,-0.84993,-0.81225,-0.761666667,-0.898966667,-0.8589375
speculation,0.028571429,0.206896552,0.045454545,0.090909091,0,-0.8481,0.210166667,0,-0.019533333,0
theft,0.083333333,0.285714286,0.24,0.035714286,0.125,-0.8481,-0.17445,-0.203233333,0,-0.57205
revealed,0.028571429,0.045454545,0.122807018,0.076923077,0,-0.8442,-0.4853,0.0353,0,0
constitutionally,0.117647059,0.227272727,0,0,0,-0.8346,-0.3959,0,0,0
suicide,0.447916667,0.144444444,0.207317073,0.25,0.189189189,-0.82362093,-0.728984615,-0.748052941,-0.82766087,-0.802935714
perpetrators,0.055555556,0.25,0.052631579,0.266666667,0,-0.8176,-0.40808,-0.8834,-0.4833,0
terrorism,0.141104294,0.128755365,0.111111111,0.1640625,0.136363636,-0.806682609,-0.7162,-0.669856,-0.774140476,-0.719833333
accident,0.171428571,0.0625,0,0,0,-0.803583333,-0.7579,0,0,0
criminals,0.333333333,0.25,0.307692308,0.078947368,0.366666667,-0.80145,-0.724222222,-0.7076125,-0.749666667,-0.668781818
scared,0.137254902,0.138888889,0.055555556,0.108108108,0,-0.799828571,-0.72848,-0.6657,-0.4916,0
rage,0.333333333,0.1875,0.384615385,0.411764706,0.176470588,-0.789875,-0.716733333,-0.42321,-0.530542857,-0.613233333
lacked,0.047619048,0.294117647,0.214285714,0.125,0.25,-0.7755,0,-0.592833333,0.4019,-0.175566667
punishment,0.2,0.277777778,0.111111111,0.192307692,0.102040816,-0.77321,-0.59815,-0.598675,-0.4186,-0.69114
murder,0.197368421,0.132075472,0.086956522,0.112676056,0.118421053,-0.77304,-0.750814286,-0.5875,-0.795275,-0.729177778
pursue,0.037037037,0.123076923,0.14,0.088235294,0.068965517,-0.77275,-0.0736625,-0.266771429,-0.1627,-0.066075
torture,0.4,0.153846154,0.111111111,0.087719298,0.298245614,-0.771883333,-0.7564,-0.8163,-0.65042,-0.680452941
winners,0.052631579,0.263157895,0.107142857,0.15,0,-0.7717,-0.00196,0.363433333,0.292066667,0
lone,0.137931034,0.108108108,0.12,0.217391304,0.071428571,-0.771675,-0.6678,-0.578133333,-0.5366,-0.8716
fail,0.115384615,0.157894737,0.117647059,0.15625,0.114285714,-0.769966667,-0.363433333,-0.163,-0.3554,-0.35785
killing,0.384057971,0.176829268,0.201492537,0.113475177,0.227642276,-0.768603774,-0.756796552,-0.716214815,-0.7234875,-0.788332143
movies,0.034482759,0.130434783,0.037037037,0.105263158,0.035714286,-0.765,-0.135183333,-0.3182,-0.132525,-0.5574
attackers,0.233333333,0.08,0,0,0.04,-0.764314286,-0.7905,0,0,-0.8807
retirement,0.05,0.25,0.175,0.055555556,0,-0.7579,0.0785,0.176042857,0.3182,0
drew,0.033333333,0.06557377,0.090909091,0.112359551,0.051724138,-0.7579,-0.204725,-0.145533333,0.03099,0.337166667
accusations,0.034482759,0.194444444,0.142857143,0.090909091,0.1,-0.7506,-0.404985714,-0.469757143,-0.591233333,-0.62115
killed,0.46275395,0.154175589,0.125514403,0.141230068,0.175710594,-0.750022927,-0.756377778,-0.75764918,-0.746170968,-0.745836765
vicious,0.266666667,0.15,0.263157895,0.166666667,0.173913043,-0.747725,-0.7526,-0.59474,-0.3612,-0.723125
prejudice,0.173913043,0.230769231,0.333333333,0.285714286,0.2,-0.747325,-0.675433333,-0.775544444,-0.7429875,-0.78988
tortured,0.75,0.352941176,0.136363636,0.142857143,0.111111111,-0.742833333,-0.865966667,-0.741766667,-0.7686,-0.79045
