,h,l,n,authority_sent,cor,cor_abs
0,25,25,25,authority_sent,-0.2637,0.2637
1,25,50,25,authority_sent,0.2941,0.2941
2,25,75,25,authority_sent,0.2409,0.2409
3,25,100,25,authority_sent,0.2363,0.2363
4,25,125,25,authority_sent,0.1928,0.1928
5,25,150,25,authority_sent,0.1966,0.1966
6,25,175,25,authority_sent,0.2078,0.2078
7,25,200,25,authority_sent,0.2043,0.2043
8,25,225,25,authority_sent,0.2058,0.2058
9,25,250,25,authority_sent,0.2129,0.2129
10,25,275,25,authority_sent,0.2109,0.2109
11,25,300,25,authority_sent,0.1768,0.1768
12,25,325,25,authority_sent,0.187,0.187
13,25,350,25,authority_sent,0.187,0.187
14,25,375,25,authority_sent,0.186,0.186
15,25,400,25,authority_sent,0.1738,0.1738
16,25,425,25,authority_sent,0.1508,0.1508
17,25,450,25,authority_sent,0.1396,0.1396
18,25,475,25,authority_sent,0.1272,0.1272
19,25,500,25,authority_sent,0.1272,0.1272
20,50,25,25,authority_sent,-0.2217,0.2217
21,50,50,25,authority_sent,0.425,0.425
22,50,50,50,authority_sent,-0.3387,0.3387
23,50,75,25,authority_sent,0.3633,0.3633
24,50,75,50,authority_sent,0.4283,0.4283
25,50,100,25,authority_sent,0.3482,0.3482
26,50,100,50,authority_sent,0.3407,0.3407
27,50,125,25,authority_sent,-0.3601,0.3601
28,50,125,50,authority_sent,0.3672,0.3672
29,50,150,25,authority_sent,0.3893,0.3893
30,50,150,50,authority_sent,0.3175,0.3175
31,50,175,25,authority_sent,0.3959,0.3959
32,50,175,50,authority_sent,0.2894,0.2894
33,50,200,25,authority_sent,0.3795,0.3795
34,50,200,50,authority_sent,0.3009,0.3009
35,50,225,25,authority_sent,0.3528,0.3528
36,50,225,50,authority_sent,0.3035,0.3035
37,50,250,25,authority_sent,0.3341,0.3341
38,50,250,50,authority_sent,0.2932,0.2932
39,50,275,25,authority_sent,0.3494,0.3494
40,50,275,50,authority_sent,0.2702,0.2702
41,50,300,25,authority_sent,0.3494,0.3494
42,50,300,50,authority_sent,0.2468,0.2468
43,50,325,25,authority_sent,0.3494,0.3494
44,50,325,50,authority_sent,0.2631,0.2631
45,50,350,25,authority_sent,0.347,0.347
46,50,350,50,authority_sent,0.2703,0.2703
47,50,375,25,authority_sent,0.3282,0.3282
48,50,375,50,authority_sent,0.2488,0.2488
49,50,400,25,authority_sent,0.3224,0.3224
50,50,400,50,authority_sent,0.2425,0.2425
51,50,425,25,authority_sent,0.3224,0.3224
52,50,425,50,authority_sent,0.2394,0.2394
53,50,450,25,authority_sent,0.3165,0.3165
54,50,450,50,authority_sent,0.2369,0.2369
55,50,475,25,authority_sent,0.3095,0.3095
56,50,475,50,authority_sent,0.2312,0.2312
57,50,500,25,authority_sent,0.3095,0.3095
58,50,500,50,authority_sent,0.2256,0.2256
59,75,25,25,authority_sent,-0.1976,0.1976
60,75,50,25,authority_sent,0.3609,0.3609
61,75,50,50,authority_sent,-0.2999,0.2999
62,75,75,25,authority_sent,0.443,0.443
63,75,75,50,authority_sent,0.4579,0.4579
64,75,75,75,authority_sent,0.3405,0.3405
65,75,100,25,authority_sent,0.3858,0.3858
66,75,100,50,authority_sent,0.4613,0.4613
67,75,100,75,authority_sent,0.4626,0.4626
68,75,125,25,authority_sent,0.3302,0.3302
69,75,125,50,authority_sent,0.4173,0.4173
70,75,125,75,authority_sent,0.4366,0.4366
71,75,150,25,authority_sent,0.361,0.361
72,75,150,50,authority_sent,0.3792,0.3792
73,75,150,75,authority_sent,0.3752,0.3752
74,75,175,25,authority_sent,0.366,0.366
75,75,175,50,authority_sent,-0.3828,0.3828
76,75,175,75,authority_sent,0.3514,0.3514
77,75,200,25,authority_sent,0.3397,0.3397
78,75,200,50,authority_sent,0.4311,0.4311
79,75,200,75,authority_sent,0.3635,0.3635
80,75,225,25,authority_sent,-0.3779,0.3779
81,75,225,50,authority_sent,0.4301,0.4301
82,75,225,75,authority_sent,0.3759,0.3759
83,75,250,25,authority_sent,0.3173,0.3173
