,h,l,n,care_sent,cor,cor_abs
670,225,200,175,care_sent,-0.5131,0.5131
671,225,200,200,care_sent,0.5085,0.5085
824,250,225,225,care_sent,0.5082,0.5082
823,250,225,200,care_sent,0.5074,0.5074
814,250,200,175,care_sent,-0.5068,0.5068
1490,350,200,175,care_sent,-0.5063,0.5063
1153,300,250,225,care_sent,-0.5061,0.5061
813,250,200,150,care_sent,-0.5059,0.5059
1133,300,200,150,care_sent,-0.5058,0.5058
538,200,200,175,care_sent,0.5058,0.5058
988,275,250,225,care_sent,-0.5057,0.5057
1499,350,225,200,care_sent,-0.5056,0.5056
822,250,225,175,care_sent,0.5053,0.5053
2538,475,325,250,care_sent,-0.5049,0.5049
987,275,250,200,care_sent,-0.5047,0.5047
2566,475,375,275,care_sent,-0.5047,0.5047
530,200,175,150,care_sent,-0.5046,0.5046
1327,325,250,225,care_sent,-0.5039,0.5039
1143,300,225,200,care_sent,-0.5038,0.5038
1698,375,250,225,care_sent,-0.5036,0.5036
1678,375,200,150,care_sent,-0.5034,0.5034
680,225,225,225,care_sent,0.5034,0.5034
1317,325,225,200,care_sent,-0.5033,0.5033
2318,450,300,225,care_sent,-0.5033,0.5033
1489,350,200,150,care_sent,-0.5031,0.5031
1307,325,200,150,care_sent,-0.5031,0.5031
2565,475,375,250,care_sent,-0.503,0.503
1165,300,275,275,care_sent,-0.5029,0.5029
1709,375,275,250,care_sent,-0.5027,0.5027
1688,375,225,200,care_sent,-0.5027,0.5027
1000,275,275,275,care_sent,-0.5024,0.5024
2539,475,325,275,care_sent,-0.5024,0.5024
1164,300,275,250,care_sent,-0.5024,0.5024
2114,425,300,225,care_sent,-0.5024,0.5024
989,275,250,250,care_sent,-0.5024,0.5024
2116,425,300,275,care_sent,-0.5023,0.5023
2525,475,300,225,care_sent,-0.502,0.502
1339,325,275,275,care_sent,-0.5019,0.5019
2775,500,375,275,care_sent,-0.5018,0.5018
1893,400,250,225,care_sent,-0.5016,0.5016
679,225,225,200,care_sent,0.5016,0.5016
125,100,100,100,care_sent,0.5015,0.5015
203,125,125,100,care_sent,0.5014,0.5014
1154,300,250,250,care_sent,-0.5013,0.5013
1134,300,200,175,care_sent,-0.5012,0.5012
2568,475,375,325,care_sent,-0.5012,0.5012
305,150,175,125,care_sent,0.501,0.501
2551,475,350,250,care_sent,-0.501,0.501
2552,475,350,275,care_sent,-0.5009,0.5009
1521,350,275,275,care_sent,-0.5009,0.5009
2761,500,350,275,care_sent,-0.5008,0.5008
1930,400,325,325,care_sent,-0.5005,0.5005
1152,300,250,200,care_sent,-0.5005,0.5005
2583,475,400,325,care_sent,-0.5004,0.5004
2807,500,425,300,care_sent,-0.5003,0.5003
1904,400,275,250,care_sent,-0.5003,0.5003
419,175,200,175,care_sent,0.5002,0.5002
1509,350,250,225,care_sent,-0.5002,0.5002
2320,450,300,275,care_sent,-0.5001,0.5001
669,225,200,150,care_sent,-0.5001,0.5001
1916,400,300,275,care_sent,-0.5001,0.5001
2331,450,325,250,care_sent,-0.5,0.5
2332,450,325,275,care_sent,-0.5,0.5
812,250,200,125,care_sent,-0.4999,0.4999
2601,475,425,375,care_sent,-0.4998,0.4998
978,275,225,200,care_sent,-0.4998,0.4998
2537,475,325,225,care_sent,-0.4997,0.4997
2580,475,400,250,care_sent,-0.4997,0.4997
1510,350,250,250,care_sent,-0.4997,0.4997
418,175,200,150,care_sent,0.4997,0.4997
1338,325,275,250,care_sent,-0.4997,0.4997
2540,475,325,300,care_sent,-0.4997,0.4997
2806,500,425,275,care_sent,-0.4997,0.4997
2362,450,375,350,care_sent,-0.4997,0.4997
2378,450,400,375,care_sent,-0.4996,0.4996
2319,450,300,250,care_sent,-0.4996,0.4996
2527,475,300,275,care_sent,-0.4995,0.4995
411,175,175,150,care_sent,0.4995,0.4995
311,150,200,125,care_sent,0.4995,0.4995
1351,325,300,300,care_sent,-0.4995,0.4995
1326,325,250,200,care_sent,-0.4994,0.4994
1748,375,350,325,care_sent,-0.4994,0.4994
2553,475,350,300,care_sent,-0.4993,0.4993
2567,475,375,300,care_sent,-0.4992,0.4992
1917,400,300,300,care_sent,-0.4992,0.4992
2115,425,300,250,care_sent,-0.4991,0.4991
834,250,250,250,care_sent,0.499,0.499
306,150,175,150,care_sent,0.499,0.499
2158,425,375,350,care_sent,-0.499,0.499
1710,375,275,275,care_sent,-0.4989,0.4989
2104,425,275,250,care_sent,-0.4987,0.4987
1508,350,250,200,care_sent,-0.4986,0.4986
2526,475,300,250,care_sent,-0.4986,0.4986
2774,500,375,250,care_sent,-0.4986,0.4986
2584,475,400,350,care_sent,-0.4986,0.4986
522,200,150,100,care_sent,-0.4985,0.4985
1944,400,350,350,care_sent,-0.4984,0.4984
1883,400,225,200,care_sent,-0.4984,0.4984
2361,450,375,325,care_sent,-0.4983,0.4983
1328,325,250,250,care_sent,-0.4983,0.4983
2113,425,300,200,care_sent,-0.4982,0.4982
1749,375,350,350,care_sent,-0.4982,0.4982
1520,350,275,250,care_sent,-0.4982,0.4982
2585,475,400,375,care_sent,-0.4982,0.4982
207,125,150,75,care_sent,0.4981,0.4981
2600,475,425,350,care_sent,-0.4981,0.4981
299,150,150,125,care_sent,-0.4979,0.4979
1533,350,300,300,care_sent,-0.4979,0.4979
2103,425,275,225,care_sent,-0.4979,0.4979
1943,400,350,325,care_sent,-0.4978,0.4978
2602,475,425,400,care_sent,-0.4978,0.4978
2760,500,350,250,care_sent,-0.4978,0.4978
1873,400,200,150,care_sent,-0.4977,0.4977
2144,425,350,350,care_sent,-0.4976,0.4976
2143,425,350,325,care_sent,-0.4976,0.4976
1735,375,325,325,care_sent,-0.4975,0.4975
1721,375,300,275,care_sent,-0.4974,0.4974
821,250,225,150,care_sent,-0.4974,0.4974
2829,500,450,425,care_sent,-0.4974,0.4974
1679,375,200,175,care_sent,-0.4973,0.4973
815,250,200,200,care_sent,-0.4973,0.4973
2377,450,400,350,care_sent,-0.4971,0.4971
312,150,200,150,care_sent,0.4971,0.4971
1722,375,300,300,care_sent,-0.4971,0.4971
1697,375,250,200,care_sent,-0.497,0.497
2130,425,325,325,care_sent,-0.4969,0.4969
1337,325,275,225,care_sent,-0.4969,0.4969
2828,500,450,400,care_sent,-0.4968,0.4968
1734,375,325,300,care_sent,-0.4967,0.4967
2307,450,275,225,care_sent,-0.4967,0.4967
531,200,175,175,care_sent,0.4967,0.4967
2564,475,375,225,care_sent,-0.4967,0.4967
2789,500,400,250,care_sent,-0.4966,0.4966
2554,475,350,325,care_sent,-0.4966,0.4966
1929,400,325,300,care_sent,-0.4965,0.4965
2333,450,325,300,care_sent,-0.4965,0.4965
969,275,200,175,care_sent,-0.4965,0.4965
