,h,l,n,fairness_sent,cor,cor_abs
0,25,25,25,fairness_sent,0.2638,0.2638
1,25,50,25,fairness_sent,0.3988,0.3988
2,25,75,25,fairness_sent,0.3156,0.3156
3,25,100,25,fairness_sent,0.2751,0.2751
4,25,125,25,fairness_sent,0.2897,0.2897
5,25,150,25,fairness_sent,0.2744,0.2744
6,25,175,25,fairness_sent,0.3042,0.3042
7,25,200,25,fairness_sent,0.2707,0.2707
8,25,225,25,fairness_sent,0.2353,0.2353
9,25,250,25,fairness_sent,0.2333,0.2333
10,25,275,25,fairness_sent,0.2432,0.2432
11,25,300,25,fairness_sent,0.2421,0.2421
12,25,325,25,fairness_sent,0.2421,0.2421
13,25,350,25,fairness_sent,0.2388,0.2388
14,25,375,25,fairness_sent,0.2126,0.2126
15,25,400,25,fairness_sent,0.2159,0.2159
16,25,425,25,fairness_sent,0.215,0.215
17,25,450,25,fairness_sent,0.2021,0.2021
18,25,475,25,fairness_sent,0.1942,0.1942
19,25,500,25,fairness_sent,0.1942,0.1942
20,50,25,25,fairness_sent,-0.2154,0.2154
21,50,50,25,fairness_sent,0.344,0.344
22,50,50,50,fairness_sent,-0.252,0.252
23,50,75,25,fairness_sent,0.3036,0.3036
24,50,75,50,fairness_sent,-0.4147,0.4147
25,50,100,25,fairness_sent,-0.3486,0.3486
26,50,100,50,fairness_sent,0.3783,0.3783
27,50,125,25,fairness_sent,-0.3824,0.3824
28,50,125,50,fairness_sent,0.3245,0.3245
29,50,150,25,fairness_sent,-0.3276,0.3276
30,50,150,50,fairness_sent,0.325,0.325
31,50,175,25,fairness_sent,-0.3334,0.3334
32,50,175,50,fairness_sent,0.3392,0.3392
33,50,200,25,fairness_sent,0.3239,0.3239
34,50,200,50,fairness_sent,0.3328,0.3328
35,50,225,25,fairness_sent,0.3066,0.3066
36,50,225,50,fairness_sent,0.2816,0.2816
37,50,250,25,fairness_sent,0.2877,0.2877
38,50,250,50,fairness_sent,0.2974,0.2974
39,50,275,25,fairness_sent,0.3367,0.3367
40,50,275,50,fairness_sent,0.3088,0.3088
41,50,300,25,fairness_sent,0.3452,0.3452
42,50,300,50,fairness_sent,0.3161,0.3161
43,50,325,25,fairness_sent,0.3541,0.3541
44,50,325,50,fairness_sent,0.3243,0.3243
45,50,350,25,fairness_sent,0.3534,0.3534
46,50,350,50,fairness_sent,0.3234,0.3234
47,50,375,25,fairness_sent,0.3614,0.3614
48,50,375,50,fairness_sent,0.2874,0.2874
49,50,400,25,fairness_sent,0.3596,0.3596
50,50,400,50,fairness_sent,0.2954,0.2954
51,50,425,25,fairness_sent,0.3646,0.3646
