,h,l,n,loyalty_sent,cor,cor_abs
0,25,25,25,loyalty_sent,-0.2303,0.2303
1,25,50,25,loyalty_sent,0.3971,0.3971
2,25,75,25,loyalty_sent,0.3693,0.3693
3,25,100,25,loyalty_sent,0.3592,0.3592
4,25,125,25,loyalty_sent,0.41,0.41
5,25,150,25,loyalty_sent,0.4253,0.4253
6,25,175,25,loyalty_sent,0.3951,0.3951
7,25,200,25,loyalty_sent,0.3428,0.3428
8,25,225,25,loyalty_sent,0.3196,0.3196
9,25,250,25,loyalty_sent,0.275,0.275
10,25,275,25,loyalty_sent,0.2615,0.2615
11,25,300,25,loyalty_sent,0.3399,0.3399
12,25,325,25,loyalty_sent,0.3261,0.3261
13,25,350,25,loyalty_sent,0.219,0.219
14,25,375,25,loyalty_sent,0.2063,0.2063
15,25,400,25,loyalty_sent,0.2063,0.2063
16,25,425,25,loyalty_sent,0.2063,0.2063
17,25,450,25,loyalty_sent,0.1956,0.1956
18,25,475,25,loyalty_sent,0.1956,0.1956
19,25,500,25,loyalty_sent,0.1312,0.1312
20,50,25,25,loyalty_sent,-0.2452,0.2452
21,50,50,25,loyalty_sent,0.4216,0.4216
22,50,50,50,loyalty_sent,-0.3776,0.3776
23,50,75,25,loyalty_sent,-0.4506,0.4506
24,50,75,50,loyalty_sent,0.4724,0.4724
25,50,100,25,loyalty_sent,0.4601,0.4601
26,50,100,50,loyalty_sent,0.3869,0.3869
27,50,125,25,loyalty_sent,-0.423,0.423
28,50,125,50,loyalty_sent,0.3824,0.3824
29,50,150,25,loyalty_sent,-0.4088,0.4088
30,50,150,50,loyalty_sent,0.4127,0.4127
31,50,175,25,loyalty_sent,-0.4297,0.4297
32,50,175,50,loyalty_sent,0.3899,0.3899
33,50,200,25,loyalty_sent,-0.3987,0.3987
34,50,200,50,loyalty_sent,0.3502,0.3502
35,50,225,25,loyalty_sent,-0.3987,0.3987
36,50,225,50,loyalty_sent,0.3437,0.3437
37,50,250,25,loyalty_sent,-0.3928,0.3928
38,50,250,50,loyalty_sent,0.3017,0.3017
39,50,275,25,loyalty_sent,-0.3988,0.3988
40,50,275,50,loyalty_sent,0.2945,0.2945
41,50,300,25,loyalty_sent,-0.4068,0.4068
42,50,300,50,loyalty_sent,0.3423,0.3423
43,50,325,25,loyalty_sent,-0.392,0.392
44,50,325,50,loyalty_sent,0.3662,0.3662
45,50,350,25,loyalty_sent,-0.3663,0.3663
46,50,350,50,loyalty_sent,0.3442,0.3442
47,50,375,25,loyalty_sent,-0.3549,0.3549
48,50,375,50,loyalty_sent,0.3397,0.3397
49,50,400,25,loyalty_sent,-0.3549,0.3549
50,50,400,50,loyalty_sent,0.3393,0.3393
51,50,425,25,loyalty_sent,-0.3336,0.3336
52,50,425,50,loyalty_sent,0.3295,0.3295
53,50,450,25,loyalty_sent,0.3079,0.3079
54,50,450,50,loyalty_sent,0.3295,0.3295
55,50,475,25,loyalty_sent,0.3079,0.3079
56,50,475,50,loyalty_sent,0.3143,0.3143
57,50,500,25,loyalty_sent,0.3033,0.3033
58,50,500,50,loyalty_sent,0.3196,0.3196
59,75,25,25,loyalty_sent,-0.2344,0.2344
60,75,50,25,loyalty_sent,-0.4366,0.4366
61,75,50,50,loyalty_sent,-0.3133,0.3133
62,75,75,25,loyalty_sent,-0.4131,0.4131
63,75,75,50,loyalty_sent,0.4679,0.4679
64,75,75,75,loyalty_sent,-0.4328,0.4328
65,75,100,25,loyalty_sent,-0.4201,0.4201
66,75,100,50,loyalty_sent,-0.4672,0.4672
67,75,100,75,loyalty_sent,0.476,0.476
68,75,125,25,loyalty_sent,-0.4629,0.4629
69,75,125,50,loyalty_sent,-0.4824,0.4824
70,75,125,75,loyalty_sent,0.4619,0.4619
71,75,150,25,loyalty_sent,0.4606,0.4606
72,75,150,50,loyalty_sent,0.4817,0.4817
73,75,150,75,loyalty_sent,0.4637,0.4637
74,75,175,25,loyalty_sent,-0.3751,0.3751
75,75,175,50,loyalty_sent,-0.4531,0.4531
76,75,175,75,loyalty_sent,0.4163,0.4163
77,75,200,25,loyalty_sent,-0.3833,0.3833
78,75,200,50,loyalty_sent,-0.3833,0.3833
79,75,200,75,loyalty_sent,0.3647,0.3647
80,75,225,25,loyalty_sent,-0.3822,0.3822
81,75,225,50,loyalty_sent,-0.3881,0.3881
82,75,225,75,loyalty_sent,0.359,0.359
83,75,250,25,loyalty_sent,-0.3977,0.3977
84,75,250,50,loyalty_sent,-0.383,0.383
85,75,250,75,loyalty_sent,0.365,0.365
86,75,275,25,loyalty_sent,-0.3901,0.3901
87,75,275,50,loyalty_sent,0.3867,0.3867
88,75,275,75,loyalty_sent,0.3609,0.3609
89,75,300,25,loyalty_sent,-0.3822,0.3822
90,75,300,50,loyalty_sent,0.4087,0.4087
91,75,300,75,loyalty_sent,0.3585,0.3585
92,75,325,25,loyalty_sent,-0.37,0.37
93,75,325,50,loyalty_sent,0.4119,0.4119
94,75,325,75,loyalty_sent,0.3511,0.3511
95,75,350,25,loyalty_sent,-0.3174,0.3174
96,75,350,50,loyalty_sent,0.3848,0.3848
97,75,350,75,loyalty_sent,0.315,0.315
98,75,375,25,loyalty_sent,-0.2922,0.2922
99,75,375,50,loyalty_sent,0.3512,0.3512
100,75,375,75,loyalty_sent,0.3386,0.3386
101,75,400,25,loyalty_sent,-0.2922,0.2922
102,75,400,50,loyalty_sent,0.3345,0.3345
103,75,400,75,loyalty_sent,0.3283,0.3283
104,75,425,25,loyalty_sent,0.2881,0.2881
105,75,425,50,loyalty_sent,0.3433,0.3433
106,75,425,75,loyalty_sent,0.332,0.332
107,75,450,25,loyalty_sent,0.2658,0.2658
108,75,450,50,loyalty_sent,0.3441,0.3441
109,75,450,75,loyalty_sent,0.3314,0.3314
110,75,475,25,loyalty_sent,0.2481,0.2481
111,75,475,50,loyalty_sent,0.3172,0.3172
112,75,475,75,loyalty_sent,0.3199,0.3199
113,75,500,25,loyalty_sent,0.2377,0.2377
114,75,500,50,loyalty_sent,0.3352,0.3352
115,75,500,75,loyalty_sent,0.3155,0.3155
116,100,25,25,loyalty_sent,-0.2525,0.2525
117,100,50,25,loyalty_sent,-0.372,0.372
118,100,50,50,loyalty_sent,-0.3132,0.3132
119,100,75,25,loyalty_sent,-0.4215,0.4215
120,100,75,50,loyalty_sent,0.4418,0.4418
121,100,75,75,loyalty_sent,-0.3625,0.3625
122,100,100,25,loyalty_sent,0.4234,0.4234
123,100,100,50,loyalty_sent,-0.4662,0.4662
124,100,100,75,loyalty_sent,-0.4672,0.4672
125,100,100,100,loyalty_sent,-0.4019,0.4019
126,100,125,25,loyalty_sent,-0.4242,0.4242
127,100,125,50,loyalty_sent,-0.4523,0.4523
128,100,125,75,loyalty_sent,-0.4778,0.4778
129,100,125,100,loyalty_sent,-0.4592,0.4592
130,100,150,25,loyalty_sent,-0.4182,0.4182
131,100,150,50,loyalty_sent,-0.4753,0.4753
132,100,150,75,loyalty_sent,0.478,0.478
133,100,150,100,loyalty_sent,0.4613,0.4613
134,100,175,25,loyalty_sent,-0.4379,0.4379
135,100,175,50,loyalty_sent,-0.4627,0.4627
136,100,175,75,loyalty_sent,0.4686,0.4686
137,100,175,100,loyalty_sent,0.4518,0.4518
138,100,200,25,loyalty_sent,0.4326,0.4326
139,100,200,50,loyalty_sent,-0.4393,0.4393
140,100,200,75,loyalty_sent,0.425,0.425
141,100,200,100,loyalty_sent,0.4255,0.4255
142,100,225,25,loyalty_sent,-0.4404,0.4404
143,100,225,50,loyalty_sent,-0.436,0.436
144,100,225,75,loyalty_sent,0.4194,0.4194
145,100,225,100,loyalty_sent,0.417,0.417
146,100,250,25,loyalty_sent,-0.4124,0.4124
147,100,250,50,loyalty_sent,-0.4295,0.4295
148,100,250,75,loyalty_sent,0.4042,0.4042
149,100,250,100,loyalty_sent,0.4136,0.4136
150,100,275,25,loyalty_sent,-0.414,0.414
151,100,275,50,loyalty_sent,0.4225,0.4225
152,100,275,75,loyalty_sent,0.3884,0.3884
153,100,275,100,loyalty_sent,0.4079,0.4079
154,100,300,25,loyalty_sent,-0.3251,0.3251
155,100,300,50,loyalty_sent,-0.441,0.441
156,100,300,75,loyalty_sent,0.3862,0.3862
157,100,300,100,loyalty_sent,0.3865,0.3865
158,100,325,25,loyalty_sent,-0.2875,0.2875
159,100,325,50,loyalty_sent,0.4602,0.4602
160,100,325,75,loyalty_sent,0.3848,0.3848
161,100,325,100,loyalty_sent,0.3781,0.3781
162,100,350,25,loyalty_sent,-0.1824,0.1824
163,100,350,50,loyalty_sent,-0.4171,0.4171
164,100,350,75,loyalty_sent,0.361,0.361
