,h,l,n,sanctity_sent,cor,cor_abs
0,25,25,25,sanctity_sent,0.1108,0.1108
1,25,50,25,sanctity_sent,-0.1506,0.1506
2,25,75,25,sanctity_sent,-0.1425,0.1425
3,25,100,25,sanctity_sent,0.1845,0.1845
4,25,125,25,sanctity_sent,0.2515,0.2515
5,25,150,25,sanctity_sent,0.2502,0.2502
6,25,175,25,sanctity_sent,0.241,0.241
7,25,200,25,sanctity_sent,0.1842,0.1842
8,25,225,25,sanctity_sent,0.2333,0.2333
9,25,250,25,sanctity_sent,0.1277,0.1277
10,25,275,25,sanctity_sent,0.0288,0.0288
11,25,300,25,sanctity_sent,-0.1368,0.1368
12,25,325,25,sanctity_sent,-0.143,0.143
13,25,350,25,sanctity_sent,-0.1177,0.1177
14,25,375,25,sanctity_sent,0.0855,0.0855
15,25,400,25,sanctity_sent,0.2544,0.2544
16,25,425,25,sanctity_sent,0.2242,0.2242
17,25,450,25,sanctity_sent,0.2242,0.2242
18,25,475,25,sanctity_sent,0.2343,0.2343
19,25,500,25,sanctity_sent,0.2326,0.2326
20,50,25,25,sanctity_sent,0.0681,0.0681
21,50,50,25,sanctity_sent,0.2428,0.2428
22,50,50,50,sanctity_sent,0.2326,0.2326
23,50,75,25,sanctity_sent,-0.2996,0.2996
24,50,75,50,sanctity_sent,-0.3269,0.3269
25,50,100,25,sanctity_sent,0.276,0.276
26,50,100,50,sanctity_sent,-0.3042,0.3042
27,50,125,25,sanctity_sent,0.2517,0.2517
28,50,125,50,sanctity_sent,0.3526,0.3526
29,50,150,25,sanctity_sent,0.2494,0.2494
30,50,150,50,sanctity_sent,0.244,0.244
31,50,175,25,sanctity_sent,0.2115,0.2115
32,50,175,50,sanctity_sent,0.2434,0.2434
33,50,200,25,sanctity_sent,-0.239,0.239
34,50,200,50,sanctity_sent,0.209,0.209
35,50,225,25,sanctity_sent,-0.3096,0.3096
36,50,225,50,sanctity_sent,0.2663,0.2663
37,50,250,25,sanctity_sent,-0.3541,0.3541
38,50,250,50,sanctity_sent,0.2576,0.2576
39,50,275,25,sanctity_sent,0.3322,0.3322
40,50,275,50,sanctity_sent,0.2795,0.2795
41,50,300,25,sanctity_sent,0.3448,0.3448
42,50,300,50,sanctity_sent,0.3028,0.3028
43,50,325,25,sanctity_sent,0.3628,0.3628
44,50,325,50,sanctity_sent,0.2953,0.2953
45,50,350,25,sanctity_sent,0.3731,0.3731
46,50,350,50,sanctity_sent,0.2672,0.2672
47,50,375,25,sanctity_sent,-0.3364,0.3364
48,50,375,50,sanctity_sent,0.2578,0.2578
49,50,400,25,sanctity_sent,-0.3364,0.3364
50,50,400,50,sanctity_sent,0.2609,0.2609
51,50,425,25,sanctity_sent,0.2779,0.2779
52,50,425,50,sanctity_sent,0.2623,0.2623
53,50,450,25,sanctity_sent,0.2779,0.2779
54,50,450,50,sanctity_sent,0.2623,0.2623
55,50,475,25,sanctity_sent,0.2737,0.2737
56,50,475,50,sanctity_sent,0.2728,0.2728
57,50,500,25,sanctity_sent,0.2737,0.2737
58,50,500,50,sanctity_sent,0.2648,0.2648
59,75,25,25,sanctity_sent,-0.1716,0.1716
60,75,50,25,sanctity_sent,0.3426,0.3426
61,75,50,50,sanctity_sent,0.3209,0.3209
62,75,75,25,sanctity_sent,0.3597,0.3597
63,75,75,50,sanctity_sent,0.3889,0.3889
64,75,75,75,sanctity_sent,0.4196,0.4196
65,75,100,25,sanctity_sent,-0.3581,0.3581
66,75,100,50,sanctity_sent,-0.3644,0.3644
67,75,100,75,sanctity_sent,0.4061,0.4061
68,75,125,25,sanctity_sent,-0.3292,0.3292
69,75,125,50,sanctity_sent,-0.354,0.354
70,75,125,75,sanctity_sent,0.3608,0.3608
71,75,150,25,sanctity_sent,-0.3251,0.3251
72,75,150,50,sanctity_sent,-0.3802,0.3802
73,75,150,75,sanctity_sent,0.3293,0.3293
74,75,175,25,sanctity_sent,-0.3436,0.3436
75,75,175,50,sanctity_sent,-0.3764,0.3764
76,75,175,75,sanctity_sent,0.3379,0.3379
77,75,200,25,sanctity_sent,-0.3379,0.3379
78,75,200,50,sanctity_sent,-0.392,0.392
79,75,200,75,sanctity_sent,0.3341,0.3341
80,75,225,25,sanctity_sent,-0.3174,0.3174
81,75,225,50,sanctity_sent,-0.4015,0.4015
82,75,225,75,sanctity_sent,0.3299,0.3299
83,75,250,25,sanctity_sent,-0.3247,0.3247
84,75,250,50,sanctity_sent,-0.3919,0.3919
85,75,250,75,sanctity_sent,0.3312,0.3312
86,75,275,25,sanctity_sent,-0.3203,0.3203
87,75,275,50,sanctity_sent,-0.3819,0.3819
88,75,275,75,sanctity_sent,0.3587,0.3587
89,75,300,25,sanctity_sent,-0.3189,0.3189
90,75,300,50,sanctity_sent,-0.3857,0.3857
91,75,300,75,sanctity_sent,0.3631,0.3631
92,75,325,25,sanctity_sent,-0.3129,0.3129
93,75,325,50,sanctity_sent,-0.3938,0.3938
94,75,325,75,sanctity_sent,0.3506,0.3506
95,75,350,25,sanctity_sent,-0.339,0.339
96,75,350,50,sanctity_sent,-0.3806,0.3806
97,75,350,75,sanctity_sent,0.3359,0.3359
98,75,375,25,sanctity_sent,-0.3204,0.3204
99,75,375,50,sanctity_sent,-0.3512,0.3512
100,75,375,75,sanctity_sent,0.3191,0.3191
101,75,400,25,sanctity_sent,-0.3231,0.3231
102,75,400,50,sanctity_sent,-0.3293,0.3293
103,75,400,75,sanctity_sent,0.3223,0.3223
104,75,425,25,sanctity_sent,-0.2861,0.2861
105,75,425,50,sanctity_sent,0.3173,0.3173
106,75,425,75,sanctity_sent,0.3058,0.3058
107,75,450,25,sanctity_sent,-0.2896,0.2896
108,75,450,50,sanctity_sent,0.3205,0.3205
